What happens if you miss doses,Missed dose.docx,1,c95997bd22352b12be390d1da577f9f4
Is it okay to miss a dose?,Missed dose.docx,1,
"If someone is prescribed DrugX to be takent twice daily, and they miss a dose, should they double up that evening?",Missed dose 15 mg twice daily.docx,2,8c8c438d3e13e604af0a26c0111f5bb2
Should I take my second dose of DrugX 15mg today if I was late taking my very first dose?,Missed dose 15 mg twice daily.docx,2,
What happens if I miss a dose,Missed dose.docx,1,
If someone taking DrugX missed their dose yesterday what should they do?,Missed dose.docx,1,
What is the correct course of action if dose of DrugX is forgotten in the morning?,Missed dose.docx,1,
When is DrugX recommended to be stopped prior to a surgery?,Discontinuation for surgery.docx,3,4523137ed853c344d62b8ab4de81ec1e
When should product be discontinued prior to surgery? ( surgery is not prodcut-related),Discontinuation for surgery.docx,3,
When should I discontinue DrugX if I am going to have a dental procedure?,Discontinuation for surgery.docx,3,
Patient on DrugX who is having a scheduled dental procedure-tooth extraction unrelated to DrugX.  What protocol does DrugX follow with discontinuing prior to dental procedure or surgery?,Discontinuation for surgery.docx,3,
Does DrugX need to be held for routine dental cleaning?,Discontinuation for surgery.docx,3,
When should DrugX  be stopped  for a procedure?,Discontinuation for surgery.docx,3,
How long should DrugX be discontinued before surgery?,Discontinuation for surgery.docx,3,
Can NSAID's be taken with DrugX?,DrugX_DI_NSAIDs.docx,4,13237ceecaca321513040e9ed9dca656
Can someone take Tylenol or Motrin while taking DrugX?,DrugX_DI_NSAIDs.docx,4,
Can someone take Tylenol or Motrin while taking DrugX?,DrugX_DI_NSAIDs.docx,4,
Can Prozac be taken with DrugX?,DrugX_DI_SSRI.docx,5,368f5998badbf2bd3f9c32b6879a11b2
Can aspirin also be taken with DrugX?,DrugX_DI_ASA.docx,6,5e2c0d0a4c9f97d7b172d0a4019f81d6
Can a consumer of DrugX also take aspirin 81mg daily as prescribed by his HCP?,DrugX_DI_ASA.docx,6,
Can I potentially take Aspirin or NSAIDS while taking DrugX?,DrugX_DI_ASA.docx,6,
Can I potentially take Aspirin or NSAIDS while taking DrugX?,DrugX_DI_ASA.docx,6,
Can someone take aspirin or Motrin or Excedrine on occasion while on DrugX?,DrugX_DI_ASA.docx,6,
Can someone take aspirin or Motrin or Excedrine on occasion while on DrugX?,DrugX_DI_ASA.docx,6,
Can you take aspirin while on DrugX?,DrugX_DI_ASA.docx,6,
Can aspirin be taken with DrugX?,DrugX_DI_ASA.docx,6,
Can you take DrugX with Plavix?,DrugX_DI_clopidogrel.docx,7,d6aae77cbbd4ef194872f4b71497e6a2
Can Plavix be taken with DrugX?,DrugX_DI_clopidogrel.docx,7,
Can DrugX be taken with Pantoprazole?,DrugX_DI_gastric_pH.docx,8,ed590d8e4a828f3903588948a56a9253
Can DrugX be given in combination with Prilosec?,DrugX_DI_omeprazole.docx,9,d1db29738b911f24133edf49859e17bc
Can Prilosec be taken with DrugX?,DrugX_DI_omeprazole.docx,9,
"Is it ok to use Nair hair removal, antibiotics, and antacids while taking DrugX?",DrugX_DI_ranitidine.docx,10,631a5efb71eccd1491013134836b7940
"Is it ok to use Nair hair removal, antibiotics, and antacids while taking DrugX?",DrugX_DI_ranitidine.docx,10,
Can DrugX be given in combination with Pepcid?,DrugX_DI_ranitidine.docx,10,
Is there information about using duloxetine in combination with DrugX?,DrugX_DI_SNRI.docx,5,
Is it okay to take paroxetine hcl with DrugX?,DrugX_DI_SSRI.docx,5,
Are there any drug interactgions between DrugX and Brintellix?,DrugX_DI_SSRI.docx,5,
Can taking an SSRI with DrugX increase risk of bleeding?,DrugX_DI_SSRI.docx,5,
Can SSRi medications be taken with DrugX?,DrugX_DI_SSRI.docx,5,
Can Prozac be taken with DrugX?,DrugX_DI_SSRI.docx,5,
Can you take DrugX together with warfarin,DrugX_DI_warfarin.docx,11,e86a7d854bfeb6180e6c1cc584bcfa9f
Can both DrugX and Lovenox be taken at the same time?,DrugX_DI_warfarin.docx,11,
How long prior to surgery should DrugX be stopped?,Discontinuation for surgery.docx,3,
How long prior to a dental procedure should DrugX be stopped?,Discontinuation for surgery.docx,3,
How long before cataract procedure should DrugX be stopped?,Discontinuation for surgery.docx,3,
What is the recommendation for temporarily discontinuing DrugX prior to a procedure?,Discontinuation for surgery.docx,3,
Do i have to discontinue DrugX before a dental procedure?,Discontinuation for surgery.docx,3,
How long before a dental procedure must DrugX be stopped?,Discontinuation for surgery.docx,3,
Does DrugX need to be held for dental procedures?,Discontinuation for surgery.docx,3,
Any information on stopping before surgery?,Discontinuation for surgery.docx,3,
How long before surgery should DrugX be stopped?,Discontinuation for surgery.docx,3,
